source|target
3d44812e-0506-5b82-b79f-32194c72258b|323f7f75-f334-5804-b031-bb8b1f6d563d
e48c6462-8b4a-55b3-88d9-5d12792ee968|ba2a98eb-3490-5117-804e-5551604d2320
e48c6462-8b4a-55b3-88d9-5d12792ee968|52fb65a3-7784-5619-a706-d81a22fde108
7deed2f4-ab43-58ce-a26e-70266636f14b|674448d0-b2bb-55da-8ebc-fd57a4bedaef
7deed2f4-ab43-58ce-a26e-70266636f14b|3354de83-a569-5532-ac1a-daf72cc258ae
7deed2f4-ab43-58ce-a26e-70266636f14b|4d4eb858-d2a9-530f-91f6-14e546a96e54
7deed2f4-ab43-58ce-a26e-70266636f14b|1deea2e1-8503-561c-b7c3-b63d420f4b0b
09d1720a-ea43-5e86-b562-6eabaaa9fdef|538b8b34-d925-588b-bafd-53546b72f8e1
f2ddd3cd-0f78-5562-b3bb-577f20a3322d|52fb65a3-7784-5619-a706-d81a22fde108
f2ddd3cd-0f78-5562-b3bb-577f20a3322d|7dd1957b-503b-5fa8-80f4-1e1b6d4c6e47
5281aa7b-edb2-5d13-8753-ad91c3a408ef|c5ab0417-7445-501a-8756-efac81019599
5281aa7b-edb2-5d13-8753-ad91c3a408ef|ba2a98eb-3490-5117-804e-5551604d2320
8cee156f-b943-5c40-a323-0e9378d6bb6b|c5ab0417-7445-501a-8756-efac81019599
8cee156f-b943-5c40-a323-0e9378d6bb6b|6672f549-c916-5632-bcf1-7945725dbfe9
8cee156f-b943-5c40-a323-0e9378d6bb6b|5281aa7b-edb2-5d13-8753-ad91c3a408ef
b5ad8214-7885-571f-bb8e-d6e57eb8e8ab|c5ab0417-7445-501a-8756-efac81019599
b5ad8214-7885-571f-bb8e-d6e57eb8e8ab|1b09fe6d-87f2-56b5-8e62-592071956b7e
dcce33ff-a6a5-5563-85f3-4efa2a4863c6|c56515e5-d741-50d1-8e98-0247488ea450
dcce33ff-a6a5-5563-85f3-4efa2a4863c6|a7ce7cbd-1a1d-57a5-97a0-4f1504eb533f
dcce33ff-a6a5-5563-85f3-4efa2a4863c6|faf44597-a5fd-5c6d-82be-f7c2bae1b2a8
e7e98e43-7120-532e-8a59-82d95efba671|323f7f75-f334-5804-b031-bb8b1f6d563d
a498fff3-b5e7-57ba-a394-e166a062733e|52fb65a3-7784-5619-a706-d81a22fde108
a498fff3-b5e7-57ba-a394-e166a062733e|c5ab0417-7445-501a-8756-efac81019599
b47576a5-a3fa-5f9c-8ece-1953a9f6653c|6672f549-c916-5632-bcf1-7945725dbfe9
b47576a5-a3fa-5f9c-8ece-1953a9f6653c|c5ab0417-7445-501a-8756-efac81019599
566ec10f-f322-589e-83a4-a6330c17df51|52fb65a3-7784-5619-a706-d81a22fde108
08f7fd69-4f54-57b2-a5b9-f84c056ab92f|52fb65a3-7784-5619-a706-d81a22fde108
08f7fd69-4f54-57b2-a5b9-f84c056ab92f|fde5343b-4323-5a25-9876-0da8bc5b3cde
08f7fd69-4f54-57b2-a5b9-f84c056ab92f|c299088d-2e9a-50ca-925b-e300ec8b6137
4e2705f2-6f63-5264-9aa0-78defe46b86a|52fb65a3-7784-5619-a706-d81a22fde108
9c4e2d87-5bce-5a63-b8b4-293f2b3ebc41|f7761cb4-452e-545f-aeaf-237ee2fdc318
9c4e2d87-5bce-5a63-b8b4-293f2b3ebc41|149f1916-5e75-548b-8e23-fcaab82ef748
d5617d85-7698-5a36-a302-4a6864c67aae|8bafb810-6b1e-5a25-b75d-d1da4d045c9e
591c1fa4-6885-574f-9ec4-4f7533346e25|a7ce7cbd-1a1d-57a5-97a0-4f1504eb533f
b00ce766-2716-5cc2-98ed-13375257a479|16b3a910-0eb4-5df9-9a8e-f8248552848d
479cec88-0c7e-5ce0-b0ce-bc3da9388715|94c4754c-9b1f-5b1b-81d2-b6d4e0ab30a0
b82117d0-cb52-5f21-8e34-ef6b858f6616|ce8c354d-031c-545d-8dd1-2b452a725b0a
b82117d0-cb52-5f21-8e34-ef6b858f6616|c5ab0417-7445-501a-8756-efac81019599
ec118c62-15bd-5fa5-a1ba-5df9463936e0|4b9633fd-1a45-5ef2-b79a-a6d8f04585ea
2d2976fd-fcd8-5c87-aaff-f7e45bb2259c|52fb65a3-7784-5619-a706-d81a22fde108
8ad7a29b-5e8d-553b-859d-1fd43ecb70a0|ff5d78fa-d9bb-5e05-a6cf-066fb76976eb
8ad7a29b-5e8d-553b-859d-1fd43ecb70a0|c0f3ea48-395b-577b-a1e3-2e846ec2f6fa
8ad7a29b-5e8d-553b-859d-1fd43ecb70a0|7dd1957b-503b-5fa8-80f4-1e1b6d4c6e47
33f1ba5a-3fa1-527c-b159-1a9085b81cb7|dd0f3ec0-b60a-58d2-af8f-52de51e6ec3f
33f1ba5a-3fa1-527c-b159-1a9085b81cb7|38182372-23ae-576e-ad5c-27f1471c1906
ce04285b-d1bf-532e-a022-67de14d24583|7b2311ce-ec54-5cf8-9d90-665d54bb83bf
761ab75b-0aeb-560d-92f4-d46ecaba0412|a952998a-f358-5070-a0fd-118112b60df3
07169962-b926-5ec0-9d24-77804ce438be|b5ad8214-7885-571f-bb8e-d6e57eb8e8ab
07169962-b926-5ec0-9d24-77804ce438be|c5ab0417-7445-501a-8756-efac81019599
07169962-b926-5ec0-9d24-77804ce438be|ce8c354d-031c-545d-8dd1-2b452a725b0a
3687d00c-234f-5bae-be60-066f6d5402e2|52fb65a3-7784-5619-a706-d81a22fde108
01f3b7a4-6716-5d11-b1ae-62005abf187f|faf44597-a5fd-5c6d-82be-f7c2bae1b2a8
521b04ce-540c-556b-8564-6f0fb84829f0|0234de85-8831-52b2-a7a6-a0457e6582d0
521b04ce-540c-556b-8564-6f0fb84829f0|27f67358-83be-5303-b8bb-d1061e1c8d7a
521b04ce-540c-556b-8564-6f0fb84829f0|9decf71d-ff1f-5bc4-b7af-b68a66db7f30
177a9be5-eb78-5575-bce4-1627bac70dd3|52fb65a3-7784-5619-a706-d81a22fde108
6cadb5ff-4c2d-52eb-8d8e-94fdad69ec13|177a9be5-eb78-5575-bce4-1627bac70dd3
6cadb5ff-4c2d-52eb-8d8e-94fdad69ec13|ce8c354d-031c-545d-8dd1-2b452a725b0a
6cadb5ff-4c2d-52eb-8d8e-94fdad69ec13|52fb65a3-7784-5619-a706-d81a22fde108
a1f142ee-7da6-5885-be97-f48d84bd42a4|145d47e0-ea89-541d-83bc-7bda4657cd55
daf8a07d-3782-5aa0-b334-ca239d276bed|52fb65a3-7784-5619-a706-d81a22fde108
daf8a07d-3782-5aa0-b334-ca239d276bed|177a9be5-eb78-5575-bce4-1627bac70dd3
